Name,Type,Category,Power,Accuracy,PP,Priority,Effect
Mirror Move,Flying,Status,0,0,32,0,The user performs the last move executed by its target; if applicable an attack's damage is calculated with the user's stats level and type(s). This moves fails if the target has not yet used a move. Mirror Move cannot copy Encore Struggle global moves affecting all Pokemon on the field (such as Gravity Hail Rain Dance Sandstorm and Sunny Day) moves that can bypass Protect (Acupressure Doom Desire Future Sight Imprison Perish Song Psych Up Role Play and Transform) and moves that do not have a specific target (such as Light Screen Reflect Safeguard Spikes Stealth Rock and Toxic Spikes).
Mist,Ice,Status,0,0,48,0,Protects every Pokemon on the user's team from negative stat modifiers caused by other Pokemon (including teammates) but not by itself for five turns. The team's Accuracy and Evasion stats are also protected. Moves that cause negative stat modifiers as a secondary effect such as Psychic still deal their regular damage.
Moonlight,Normal,Status,0,0,8,0,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.
Morning Sun,Normal,Status,0,0,8,0,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.
Mud-Slap,Ground,Physical,20,100,16,0,Has a 30% chance to lower the target's Accuracy by 1 stage.
Night Shade,Ghost,Physical,50,100,24,0,Does damage equal to user's level.
Nightmare,Ghost,Status,0,100,24,0,This move only works on a sleeping target; as long as the target remains asleep and in battle 1/4 of its max HP is sapped after each turn.
Octazooka,Water,Special,65,85,16,0,Has a 50% chance to lower the target's Accuracy by 1 stage.
Outrage,Dragon,Special,120,100,24,0,The user attacks uncontrollably for 2-3 turns and then gets confused.
Pain Split,Normal,Status,0,100,32,0,Calculates the average of the user's current HP and the target's HP; the HP of both Pokemon is set to this average. Pokemon can be healed by Pain Split even under the effects of Heal Block.
Pay Day,Normal,Physical,40,100,32,0,The player picks up extra money after in-game battles; the money received is equal to: [user's level * 5 * number of times Pay Day is used]. The player does not lose money if the opponent uses Pay Day but the player wins the battle.
Peck,Flying,Physical,35,100,56,0,Deals damage with no additional effect.
Perish Song,Normal,Status,0,0,8,0,All active Pokemon will faint in 3 turns unless they are switched out.
Petal Dance,Grass,Special,120,100,16,0,The user attacks uncontrollably for 2-3 turns and then gets confused.
Pin Missile,Bug,Physical,14,85,32,0,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
Poison Gas,Poison,Status,0,90,64,0,Poisons the target.
Poison Powder,Poison,Status,0,75,56,0,Poisons the target.
Poison Sting,Poison,Physical,15,100,56,0,Has a 30% chance to poison the target.
Pound,Normal,Physical,40,100,56,0,Deals damage with no additional effect.
Powder Snow,Ice,Special,40,100,40,0,Has a 10% chance to freeze the target.
Present,Normal,Physical,50,90,24,0,Randomly either attacks with a variable power between 40 base power and 120 base power or heals the target by 80 HP.
Protect,Normal,Status,0,0,16,0,"Protects the user from all effects of moves that target it during the turn it is used, including damage. This does not include damage inflicted by weather it is susceptible to, or damage from a status condition that it obtained on a previous turn (as these are not moves that targeted the user this turn). If the user goes last this turn, the move will fail. Protect will fail if the user is behind a substitute. Each time any of Protect, Detect, or Endure is successfully used without other moves used in between, the success rate will halve. In this generation, the success rate is implemented as a single byte over 255 which starts at the maximum of 255 and is floor-divided by 2 each time. This causes the success rate to drop to 0 on its ninth consecutive successful use."
Psybeam,Psychic,Special,65,100,32,0,Has a 10% chance to confuse the target.
Psych Up,Normal,Status,0,0,16,0,The user copies all six of the target's current stat modifiers.
Psychic,Psychic,Special,90,100,16,0,Has a 10% chance to lower the target's Special Defense by 1 stage.
Psywave,Psychic,Special,50,80,24,0,Randomly inflicts set damage equal to .5x .6x .7x .8x .9x 1.0x 1.1x 1.2x 1.3x 1.4x or 1.5x the user's level.
Pursuit,Dark,Special,80,100,32,0,If the target switches out on the current turn this move strikes with doubled power before the switch. Baton Passers still escape safely. When a faster Pokemon uses Pursuit against a U-Turner the U-Turner is hit for normal damage; when a slower Pokemon uses Pursuit against a U-Turner the U-Turner makes its attack then is hit by Pursuit for double power and switches out.
Quick Attack,Normal,Physical,40,100,48,1,Usually goes first.
Rage,Normal,Physical,20,100,32,0,The user's Attack rises by 1 stage if attacked before its next move.
Rain Dance,Water,Status,0,0,8,0,Cancels all other weather moves. For 5 turns: the power of Water attacks is increased by 50% the power of Fire attacks is decreased by 50% Thunder never misses and has a 30% chance to hit through Protect and Detect the power of Solarbeam is halved and the healing power of Morning Sun Synthesis and Moonlight is decreased from 1/2 to 1/4 of the user's max HP. The effects of Rain Dance will last for eight turns if its user is holding Damp Rock.
Rapid Spin,Normal,Physical,20,100,64,0,Removes Spikes Stealth Rock Toxic Spikes and Leech Seed from the user's side of the field; also frees the user from Bind Clamp Fire Spin Magma Storm Sand Tomb Whirlpool and Wrap. These effects do not occur if the move misses or is used against Ghost-type Pokemon.
Razor Leaf,Grass,Special,55,95,40,0,Has a high critical hit ratio.
Razor Wind,Normal,Physical,80,100,16,0,The user prepares on turn one becoming uncontrollable and then attacks on turn two. Has a high critical hit ratio.
Recover,Normal,Status,0,0,16,0,Restores 1/2 of the user's max HP.
Reflect,Psychic,Status,0,0,32,0,All Pokemon in the user's party receive 1/2 damage from Physical attacks for 5 turns. Reflect will be removed from the user's field if an opponent's Pokemon uses Brick Break. It will also last for eight turns if its user is holding Light Clay. In double battles both Pokemon are shielded but damage protection is reduced from 1/2 to 1/3.
Rest,Psychic,Status,0,0,16,0,The user is cured of status effects (and confusion) and recovers full HP but falls asleep for 2 turns. Pokemon who have Early Bird will wake up one turn early.
Return,Normal,Physical,50,100,32,0,Power increases as user's happiness increases; maximum 102 BP.
Reversal,Fighting,Physical,50,100,24,0,Base power increases as the user's HP decreases.
Roar,Normal,Status,0,100,32,-1,Almost always goes last; in trainer battles the target is switched out for a random member of its team. Escapes from wild battles. Has no effect if the target has Suction Cups Soundproof or used Ingrain.
Rock Slide,Rock,Physical,75,90,16,0,Has a 30% chance to make the target flinch.
Rock Smash,Fighting,Physical,40,100,24,0,Has a 50% chance to lower the target's Defense by 1 stage.
Rock Throw,Rock,Physical,50,90,24,0,Deals damage with no additional effect.
Rolling Kick,Fighting,Physical,60,85,24,0,Has a 30% chance to make the target flinch.
Rollout,Rock,Physical,30,90,32,0,The user attacks uncontrollably for five turns; this move's power doubles after each turn and also if Defense Curl was used beforehand. Its power resets after five turns have ended or if the attack misses.
Sacred Fire,Fire,Special,100,95,8,0,Has a 50% chance to burn the target; can be used while frozen which both attacks the target normally and thaws the user.
Safeguard,Normal,Status,0,0,40,0,Protects the user's entire team from status conditions for five turns.
Sand-Attack,Ground,Status,0,100,24,0,Lowers the target's Accuracy by 1 stage.
Sandstorm,Rock,Status,0,0,16,0,Cancels all other weather moves. For 5 turns: the Special Defense of Rock-type Pokemon is boosted by 50% each active Pokemon even when protected by a Substitute loses 1/16 of its max HP unless it has Sand Veil or is a Ground- Rock- or Steel-type the power of Solarbeam is halved and the healing power of Morning Sun Synthesis and Moonlight is halved. The effects of Sandstorm will last for eight turns if its user is holding Smooth Rock.
Scary Face,Normal,Status,0,90,16,0,Lowers the target's Speed by 2 stages.
Scratch,Normal,Physical,40,100,56,0,Deals damage with no additional effect.
Screech,Normal,Status,0,85,64,0,Lowers the target's Defense by 2 stages.
Seismic Toss,Fighting,Physical,50,100,32,0,Does damage equal to user's level.
Selfdestruct,Normal,Physical,200,100,8,0,Causes the user to faint.
Shadow Ball,Ghost,Physical,80,100,24,0,Has a 20% chance to lower the target's Special Defense by 1 stage.
Sharpen,Normal,Status,0,0,48,0,Raises the user's Attack by 1 stage.
Sing,Normal,Status,0,55,24,0,Puts the target to sleep.
Sketch,Normal,Status,0,0,1,0,The user permanently replaces Sketch with the last move used by the target. Sketch cannot copy itself Chatter Memento or Struggle. Transform and moves that generate other moves can be Sketched successfully as can Explosion and Selfdestruct if a Pokemon with Damp is present. Healing Wish and Lunar Dance can be Sketched because they automatically fail when the user is the last Pokemon of its team. This move fails automatically when selected in wireless or Wi-Fi battles.
Skull Bash,Normal,Physical,100,100,24,0,The user prepares on turn one raising its Defense by 1 stage and becoming uncontrollable and then attacks on turn two.
Sky Attack,Flying,Physical,140,90,8,0,The user prepares on turn one becoming uncontrollable and then attacks on turn two. Also has a 30% chance to make the target flinch.
Slam,Normal,Physical,80,75,32,0,Deals damage with no additional effect.
Slash,Normal,Physical,70,100,32,0,Has a high critical hit ratio.
Sleep Powder,Grass,Status,0,75,24,0,Puts the target to sleep.
Sleep Talk,Normal,Status,0,0,16,0,Does nothing if the user is awake. If the user asleep it randomly performs one of its attacks. Rest will fail if it is selected. Sleep Talk's generated attacks do not cost PP but it cannot generate moves with 0 PP itself Assist Bide Chatter Copycat Disabled attacks Focus Punch Me First Metronome Mirror Move Uproar or attacks with a charge-up turn like Fly or Skull Bash. (Moves with a recharge turn like Hyper Beam can be generated.)
Sludge,Poison,Physical,65,100,32,0,Has a 30% chance to poison the target.
Sludge Bomb,Poison,Physical,90,100,16,0,Has a 30% chance to poison the target.
Smog,Poison,Physical,20,70,32,0,Has a 40% chance to poison the target.
Smoke Screen,Normal,Status,0,100,32,0,Lowers the target's Accuracy by 1 stage.
Snore,Normal,Physical,40,100,24,0,Has a 30% chance to make the target flinch; fails if user is awake.
Softboiled,Normal,Status,0,100,16,0,Restores 1/2 of the user's max HP.
Solar Beam,Grass,Special,120,100,16,0,The user prepares on turn one becoming uncontrollable and then attacks on turn two. During Sunny Day this move fires immediately; during Rain Dance Sandstorm and Hail this move has half power.
Sonic Boom,Normal,Physical,20,90,32,0,Always deals 20 points of damage.
Spark,Electric,Special,65,100,32,0,Has a 30% chance to paralyze the target.
Spider Web,Bug,Status,0,100,16,0,As long as the user remains in battle the target cannot switch out unless it is holding Shed Shell or uses Baton Pass or U-Turn. The target will still be trapped if the user switches out by using Baton Pass.
Spike Cannon,Normal,Physical,20,100,24,0,Attacks 2-5 times in one turn; if one of these attacks breaks a target's Substitute the target will take damage for the rest of the hits. This move has a 3/8 chance to hit twice a 3/8 chance to hit three times a 1/8 chance to hit four times and a 1/8 chance to hit five times. If the user of this move has Skill Link this move will always strike five times.
Spikes,Ground,Status,0,0,32,0,Damages opponents unless they are Flying-type or have Levitate every time they are switched in; hits through Wonder Guard. Can be used up to three times: saps 1/8 of max HP with one layer 3/16 of max HP with two layers and 1/4 of max HP for three layers.
Spite,Ghost,Status,0,100,16,0,The target's most recent move is reduced by 4 PP; this fails if the target has not yet performed a move if the target's last move has run out of PP or if the target can only use Struggle.
Splash,Normal,Status,0,0,64,0,Doesn't do anything (but we still love it). Unfortunately it also cannot be used during the effects of Gravity! :(
Spore,Grass,Status,0,100,24,0,Puts the target to sleep.
Steel Wing,Steel,Physical,70,90,40,0,Has a 10% chance to raise the user's Defense by 1 stage.
Stomp,Normal,Physical,65,100,32,0,Has a 30% chance to make the target flinch; also retains its normal accuracy and gains doubled power against Minimized Pokemon.
Strength,Normal,Physical,80,100,24,0,Deals damage with no additional effect.
String Shot,Bug,Status,0,95,64,0,Lowers the target's Speed by 1 stage.
Struggle,Normal,Physical,50,100,1,0,Used automatically when all of the user's other moves have run out of PP or are otherwise inaccessible. The user receives recoil damage equal to 1/4 of its max HP. Struggle is classified as a typeless move and will hit any Pokemon for normal damage.
Stun Spore,Grass,Status,0,75,48,0,Paralyzes the target.
Submission,Fighting,Physical,80,80,40,0,The user receives 1/4 recoil damage.
Substitute,Normal,Status,0,0,16,0,The user takes one-fourth of its maximum HP to create a substitute; this move fails if the user does not have enough HP for this. Until the substitute is broken it receives damage from all attacks made by other Pokemon and shields the user from status effects and stat modifiers caused by other Pokemon. The user is still affected by Tickle Hail Sandstorm and Attract from behind its Substitute. If a Substitute breaks from a hit during a multistrike move such as Fury Attack the user takes damage from the remaining strikes.
Sunny Day,Fire,Status,0,0,8,0,Cancels all other weather moves. For 5 turns: freezing is prevented the power of Fire attacks is increased by 50% the power of Water attacks is decreased by 50% Solarbeam fires immediately Thunder becomes 50% accurate and the healing power of Morning Sun Synthesis and Moonlight is increased from 1/2 to 2/3 of the user's max HP. The effects of Sunny Day will last for eight turns if its user is holding Heat Rock.
Super Fang,Normal,Physical,50,90,16,0,This move halves the target's current HP.
Supersonic,Normal,Status,0,55,32,0,Confuses the target.
Surf,Water,Special,95,100,24,0,Power doubles against a target who is in the middle of using Dive.
Swagger,Normal,Status,0,90,24,0,Confuses the target and raises its Attack by 2 stages.
Sweet Kiss,Normal,Status,0,75,16,0,Confuses the target.
Sweet Scent,Normal,Status,0,100,32,0,Lowers the target's Evasion by 1 stage.
Swift,Normal,Physical,60,101,32,0,Ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.
Swords Dance,Normal,Status,0,0,48,0,Raises the user's Attack by 2 stages.
Synthesis,Grass,Status,0,0,8,0,Restores a fraction of the user's max HP depending on the weather: 2/3 during Sunny Day 1/2 during regular weather and 1/4 during Rain Dance Hail and Sandstorm.
Tackle,Normal,Physical,50,100,56,0,Deals damage with no additional effect.
Tail Whip,Normal,Status,0,100,48,0,Lowers the target's Defense by 1 stage.
Take Down,Normal,Physical,90,85,32,0,The user receives 1/4 recoil damage.
Teleport,Psychic,Status,0,0,32,0,Escapes from wild battles; fails automatically in trainer and link battles.
Thief,Dark,Special,40,100,16,0,Steals the target's held item unless the user is already holding an item or the target has Sticky Hold or Multitype. A stolen item cannot be recovered by using Recycle.
Thrash,Normal,Physical,120,100,16,0,The user attacks uncontrollably for 2-3 turns and then gets confused.
Thunder,Electric,Special,120,70,16,0,Has a 30% chance to paralyze the target. It also has normal accuracy against mid-air Pokemon who have used Fly or Bounce. During Sunny Day this move has 50% accuracy. During Rain Dance this move will never miss under normal circumstances and has a 30% chance to hit through a target's Protect or Detect.
Thunder Punch,Electric,Special,75,100,24,0,Has a 10% chance to paralyze the target.
Thunder Shock,Electric,Special,40,100,48,0,Has a 10% chance to paralyze the target.
Thunder Wave,Electric,Status,0,100,32,0,Paralyzes the target. This move activates Motor Drive.
Thunderbolt,Electric,Special,95,100,24,0,Has a 10% chance to paralyze the target.
Toxic,Poison,Status,0,90,16,0,The target is badly poisoned with the damage caused by poison doubling after each turn. Toxic poisoning will remain with the Pokemon during the battle even after switching out.
Transform,Normal,Status,0,0,16,0,The user morphs into a near-exact copy of the target. Stats stat modifiers type moves Hidden Power data and appearance are changed; the user's level and HP remain the same and each copied move receives only 5 PP. (If Transform is used by Ditto the effects of Metal Powder and Quick Powder stop working after transformation.)
Tri Attack,Normal,Physical,80,100,16,0,Has a 20% chance to burn paralyze or freeze the target.
Triple Kick,Fighting,Physical,10,90,16,0,Attacks three times in one turn adding 10 BP for each kick. If a kick misses the move ends instantly; if one of the kicks breaks a target's Substitute the real Pokemon will take damage for the remaining kicks.
Twineedle,Bug,Physical,25,100,32,0,Strikes twice; if the first hit breaks the target's Substitute the real Pokemon will take damage from the second hit. Has a 20% chance to poison the target .
Twister,Dragon,Special,40,100,32,0,Has a 20% chance to make the target flinch; power doubles while the target is in mid-air via Fly or Bounce.
Vice Grip,Normal,Physical,55,100,48,0,Deals damage with no additional effect.
Vine Whip,Grass,Special,35,100,24,0,Deals damage with no additional effect.
Vital Throw,Fighting,Physical,70,100,16,-1,This move usually goes last. It ignores Evasion and Accuracy modifiers and never misses except against Protect Detect or a target in the middle of Dig Fly Dive or Bounce.
Water Gun,Water,Special,40,100,40,0,Deals damage with no additional effect.
Waterfall,Water,Special,80,100,24,0,Has a 20% chance to make the target flinch.
Whirlpool,Water,Special,35,85,24,0,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn. Base power also doubles when performed against a Pokemon in the middle of using Dive.
Whirlwind,Normal,Status,0,100,32,-1,Almost always goes last; in trainer battles the target is switched out for a random member of its team. Escapes from wild battles. Has no effect if the target has Suction Cups or used Ingrain.
Wing Attack,Flying,Physical,60,100,56,0,Deals damage with no additional effect.
Withdraw,Water,Status,0,0,64,0,Raises the user's Defense by 1 stage.
Wrap,Normal,Physical,15,90,32,0,Traps the target for 5-6 turns causing damage equal to 1/16 of its max HP each turn; this trapped effect can be broken by Rapid Spin. The target can still switch out if it is holding Shed Shell or uses Baton Pass or U-Turn.
Zap Cannon,Electric,Special,120,50,8,0,Paralyzes the target.